"// This is a spec file to parse zoning, generated by the autogeneration tool",,,,,,,,,,,,,,,,,,,,,,,,,
"// Any line with a first cell starting with // will be ignored, as will any cell starting with #, and any blank row",,,,,,,,,,,,,,,,,,,,,,,,,
// Generated: 2018-02-06 23:48:18 MST,,,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,"San Francisco, CA",# Jurisdiction represented by this zoning,,,,,,,,,,,,,,,,,,,,,,,
data,https://data.sfgov.org/Geographic-Locations-and-Boundaries/Zoning-Districts/8br2-hhp3,"# URL for the data (not a direct download link, but the page describing the data)",,,,,,,,,,,,,,,,,,,,,,,
year,2017,# Year the data was generated,,,,,,,,,,,,,,,,,,,,,,,
code,http://library.amlegal.com/nxt/gateway.dll/California/planning/planningcode?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$sync=1,# URL of the zoning code used to fill out this file,,,,,,,,,,,,,,,,,,,,,,,
column,zoning,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,
column,SPECIAL_USE_DISTRICTS,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,
column,height,,,,,,,,,,,,,,,,,,,,,,,,
column,gen_hght,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
// Each table below contains one component of the zone designator,,,,,,,,,,,,,,,,,,,,,,,,,
"// They will be applied in order, so information from later tables will override information from previous tables",,,,,,,,,,,,,,,,,,,,,,,,,
"// These are the canonical forms of variables. Anything ending in meters can also be expressed in feet, hectares can",,,,,,,,,,,,,,,,,,,,,,,,,
"// also be expressed in acres or square feet, and minLotSizePerUnit{Hectares|Acres|SqFt} will be",,,,,,,,,,,,,,,,,,,,,,,,,
"// converted to maxUnitsPerHectare, by simply changing the variable names",,,,,,,,,,,,,,,,,,,,,,,,,
// San Francisco Height and Bulk Districts,,,,,,,,,,,,,,,,,,,,,,,,,
height,maxHeightFeet,,,,,,,,,,,,,,,,,,,,,,,,
NCT-SOMA,,1,1,,,,2500,9999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,
NCT-UPPER MARKET,,1,1,,,,2500,9999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,
NCT-VALENCIA,,1,1,,,,2500,9999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,
P,,0,0,,,,,,,,,,,,,,,,,,,,,,
P,Candlestick Pt Activity Node,0,0,,,,,,,,,,,,,,,,,,,,,,
PDR-1-D,,0,0,,,,2500,,25,,,,0,,,"# FAR 7.5 is permitted in height districts over 85 feet, lower height districts are overridden in next table",7.5,0-15,0-15,0,,,,,
PDR-1-G,,0,0,,,,2500,,25,,,,0,,,,7.5,0-15,0-15,0,,,,,
PDR-2,,0,0,,,,2500,,25,,,,1,,,,7.5,0-15,0-15,0,,,,,
PDR-2,India Basin Industrial Park,0,0,,,,2500,,25,,,,0,1,,,7.5,0-15,0-15,0,,,,,
PDR-2,Industrial Protection Zone,0,0,,,,2500,,25,,,,1,,,,7.5,0-15,0-15,0,,,,,
PM-R,Parkmerced,1,1,40-145,,,2500,,25,,,,0,1,inf,5-100,,0-20,,0,,,,,
RC-3,,1,1,,400,,2500,,25,,,,0,0.5,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
RC-4,,1,1,,200,,2500,,25,,,,0,0.5,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
RC-4,Telegraph Hill-NB Residential,1,1,,200,,2500,,25,,,,0,0.5-0.75,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
RC-4,"Telegraph Hill-NB Residential,Waterfront 3",1,1,,200,,2500,,25,,,,0,0.5-0.75,,,5,0,,0,,15-inf,,25,No FAR limits for residential
RC-4,Waterfront 3,1,1,,200,,2500,,25,,,,0,0.5,,,5,0,,0,,15-inf,,25,No FAR limits for residential
RC-4,North of Market Residential 1,1,1,,125,,2500,,25,,,,0,0.5,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
RC-4,North of Market Residential 2,1,1,,200,,2500,,25,,,,0,0.5,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
RC-4,Van Ness,1,1,,,,2500,,25,,,,0,0.5,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
RCD,,1,1,,,,2500,9999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,
RH-1,,1,0,# Special height limits implemented by postprocessing hook,,1,2500,,25,,,,1,,,,,0-15,0-15,0,,15-inf,,25,"The zoning control table says 35, but I think that should be min()d with the height district"
RH-1,Bernal1,1,0,# Special height limits implemented by postprocessing hook,,1,2500,,25,,,,1,,,,,0-15,0-15,0,,,1,35,"Dwellings may exceed 30 feet iff the average of nearby buildings does. Buildings on deep lots have different rear setback requirements which are based on the depth of the lot, the yard, and the building."
RH-1(D),,1,0,# Special height limits implemented by postprocessing hook,,1,4000,,33,,,,1,,,,,0-15,0-15,0-5,,15-inf,,25,
RH-2,,1,0,# Special height limits implemented by postprocessing hook,,2,2500,,25,,,,1,,,,,0-15,0-15,0,,,,45,
RH-2,Bernal1,1,0,# Special height limits implemented by postprocessing hook,,2,2500,,25,,,,1,,,,,0-15,0-15,0,,,1,45,"Dwellings may exceed 30 feet iff the average of nearby buildings does, but are still subject to the general height controls above."
RH-3,,1,1,,,3,2500,,25,,,,1,,,,,0-15,0-15,0,,,,45,
RH-3,Telegraph Hill-NB Residential,1,1,,,3,2500,,25,,,,0,0.5-0.75,,,,0-15,0-15,0,,,,45,
RH-3,"Telegraph Hill-NB Residential,Waterfront 2",1,1,,,3,2500,,25,,,,0,0.5-0.75,,,5,0-15,0-15,0,,,,45,
RH-3,Waterfront 2,1,1,,,3,2500,,25,,,,1,,,,5,0-15,0-15,0,,,,45,
RH-DTR,,1,1,,,,2500,,25,,,,0,0.5,inf,80-100,,0-10,,0,,0,,,
SB-DTR,,1,1,,,,2500,,25,,,,0,0.25,inf,80-100,,3-10,,0,,0,,,
SB-DTR,Waterfront 3,1,1,,,,2500,,25,,,,0,0.25,inf,80-100,5,3-10,,0,,0,,,
RM-1,,1,1,,800,,2500,,25,,,,1,,,,,0-15,0-15,0,,,,45,
RM-1,Telegraph Hill-NB Residential,1,1,,800,,2500,,25,,,,0,0.5-0.75,,,,0-15,0-15,0,,,,45,
RM-2,,1,1,,600,,2500,,25,,,,1,,,,,0-15,0-15,0,,,,45,
RM-2,Telegraph Hill-NB Residential,1,1,,600,,2500,,25,,,,0,0.5-0.75,,,,0-15,0-15,0,,,,45,
RM-2,"Telegraph Hill-NB Residential,Waterfront 3",1,1,,600,,2500,,25,,,,0,0.5-0.75,,,5,0-15,0-15,0,,,,45,
RM-3,,1,1,,400,,2500,,25,,,,1,,,,,0-15,0-15,0,,15-inf,,25,
RM-3,Telegraph Hill-NB Residential,1,1,,400,,2500,,25,,,,0,0.5-0.75,,,,0-15,0-15,0,,15-inf,,25,
RM-3,"Telegraph Hill-NB Residential,Waterfront 2",1,1,,400,,2500,,25,,,,0,0.5-0.75,,,5,0-15,0-15,0,,15-inf,,25,
RM-3,Waterfront 2,1,1,,400,,2500,,25,,,,1,,,,5,0-15,0-15,0,,15-inf,,25,
RM-4,,1,1,,200,,2500,,25,,,,1,,,,,0-15,0-15,0,,15-inf,,25,
RM-4,Waterfront 2,1,1,,200,,2500,,25,,,,1,,,,5,0-15,0-15,0,,15-inf,,25,
RTO,,1,1,,600,,2500,,25,,,,0,0.75,,,,0-15,0-15,0,,,,45,
RTO-M,,1,1,,,,2500,,25,,,,0,0.75,inf,,,0-15,0-15,0,,,,45,
RED,,1,1,,,,2500,,25,,,,0,0.75,inf,,,0,,0,,15-inf,,25,
RED-MX,,1,1,,,,2500,,25,,,,0,0.75,inf,,,0,,0,,15-inf,,25,
SLI,,1,C,,200,,2500,,25,,,,0,0.25,,,,0,,0,,15-inf,,25,
SALI,,1,1,,,,2500,,25,,,,1,,,,,0,,0,,0,,,
UMU,,1,1,,,,2500,,25,,,,0,0.75,inf,,,0,,0,,15-inf,,25,
WMUG,,0,0,,,,2500,,25,,,,0,0.25,inf,,,0,,0,,0,,,"Setbacks are ""generally"" not required, code section 844"
,,,,,,,,,,,,,,,,,,,,,,,,,
// handle height-specific far regulations,,,,,,,,,,,,,,,,,,,,,,,,,
zoning,gen_hght,maxFar,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-D,40,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-G,40,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,40,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,40,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,40,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-D,45,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-G,45,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,45,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,45,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,45,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-D,48,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-G,48,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,48,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,48,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,48,3,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-D,50,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-G,50,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,50,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,50,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,50,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-D,55,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-G,55,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,55,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,55,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,55,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-D,58,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-G,58,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,58,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,58,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,58,4,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-D,65,5,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-G,65,5,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,65,5,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,65,5,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,65,5,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-D,68,5,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-G,68,5,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,68,5,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,68,5,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,68,5,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-D,85,6,,,,,,,,,,,,,,,,,,,,,,,
PDR-1-G,85,6,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,85,6,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,85,6,,,,,,,,,,,,,,,,,,,,,,,
PDR-2,85,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SPECIAL_USE_DISTRICTS,gen_hght,maxFar,,,,,,,,,,,,,,,,,,,,,,,
Van Ness,130,7,"# Section 243, SF Code",,,,,,,,,,,,,,,,,,,,,,
Van Ness,80,4.8,,,,,,,,,,,,,,,,,,,,,,,
