"// This is a spec file to parse zoning, generated by the autogeneration tool",,,,,,,,,,,,,,,,,,,,,,,,,
"// Any line with a first cell starting with // will be ignored, as will any cell starting with #, and any blank row",,,,,,,,,,,,,,,,,,,,,,,,,
// Generated: 2018-02-06 23:48:18 MST,,,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,"San Francisco, CA",# Jurisdiction represented by this zoning,,,,,,,,,,,,,,,,,,,,,,,
data,https://data.sfgov.org/Geographic-Locations-and-Boundaries/Zoning-Districts/8br2-hhp3,"# URL for the data (not a direct download link, but the page describing the data)",,,,,,,,,,,,,,,,,,,,,,,
year,2017,# Year the data was generated,,,,,,,,,,,,,,,,,,,,,,,
code,http://library.amlegal.com/nxt/gateway.dll/California/planning/planningcode?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$sync=1,# URL of the zoning code used to fill out this file,,,,,,,,,,,,,,,,,,,,,,,
column,zoning,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,
column,SPECIAL_USE_DISTRICTS,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,
column,height,,,,,,,,,,,,,,,,,,,,,,,,
column,gen_hght,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
// Each table below contains one component of the zone designator,,,,,,,,,,,,,,,,,,,,,,,,,
"// They will be applied in order, so information from later tables will override information from previous tables",,,,,,,,,,,,,,,,,,,,,,,,,
"// These are the canonical forms of variables. Anything ending in meters can also be expressed in feet, hectares can",,,,,,,,,,,,,,,,,,,,,,,,,
"// also be expressed in acres or square feet, and minLotSizePerUnit{Hectares|Acres|SqFt} will be",,,,,,,,,,,,,,,,,,,,,,,,,
"// converted to maxUnitsPerHectare, by simply changing the variable names",,,,,,,,,,,,,,,,,,,,,,,,,
// San Francisco Height and Bulk Districts,,,,,,,,,,,,,,,,,,,,,,,,,
height,maxHeightFeet,,,,,,,,,,,,,,,,,,,,,,,,
100-G,100,,,,,,,,,,,,,,,,,,,,,,,,
65/105-R,105,,,,,,,,,,,,,,,,,,,,,,,,
105-J,105,,,,,,,,,,,,,,,,,,,,,,,,
105-E,105,,,,,,,,,,,,,,,,,,,,,,,,
105-A,105,,,,,,,,,,,,,,,,,,,,,,,,
105-PM,105,,,,,,,,,,,,,,,,,,,,,,,,
105-D,105,,,,,,,,,,,,,,,,,,,,,,,,
105-F,105,,,,,,,,,,,,,,,,,,,,,,,,
105-X,105,,,,,,,,,,,,,,,,,,,,,,,,
110-G,110,,,,,,,,,,,,,,,,,,,,,,,,
110-X,110,,,,,,,,,,,,,,,,,,,,,,,,
110,110,,,,,,,,,,,,,,,,,,,,,,,,
115-PM,115,,,,,,,,,,,,,,,,,,,,,,,,
80-T-120-T,120,,,,,,,,,,,,,,,,,,,,,,,,
120-X,120,,,,,,,,,,,,,,,,,,,,,,,,
120-F,120,,,,,,,,,,,,,,,,,,,,,,,,
120-R-2,120,,,,,,,,,,,,,,,,,,,,,,,,
125-X,125,,,,,,,,,,,,,,,,,,,,,,,,
130-G,130,,,,,,,,,,,,,,,,,,,,,,,,
130-F,130,,,,,,,,,,,,,,,,,,,,,,,,
130-V,130,,,,,,,,,,,,,,,,,,,,,,,,
130-E,130,,,,,,,,,,,,,,,,,,,,,,,,
130-D,130,,,,,,,,,,,,,,,,,,,,,,,,
80-130-X,130,,,,,,,,,,,,,,,,,,,,,,,,
130-L,130,,,,,,,,,,,,,,,,,,,,,,,,
130-B,130,,,,,,,,,,,,,,,,,,,,,,,,
80-130-F,130,,,,,,,,,,,,,,,,,,,,,,,,
80-T-130-T,130,,,,,,,,,,,,,,,,,,,,,,,,
130-PM,130,,,,,,,,,,,,,,,,,,,,,,,,
135-X,135,,,,,,,,,,,,,,,,,,,,,,,,
140-H,140,,,,,,,,,,,,,,,,,,,,,,,,
145-PM,145,,,,,,,,,,,,,,,,,,,,,,,,
145-E,145,,,,,,,,,,,,,,,,,,,,,,,,
150-S,150,,,,,,,,,,,,,,,,,,,,,,,,
85/150-R,150,,,,,,,,,,,,,,,,,,,,,,,,
150-X,150,,,,,,,,,,,,,,,,,,,,,,,,
160-H,160,,,,,,,,,,,,,,,,,,,,,,,,
160-B,160,,,,,,,,,,,,,,,,,,,,,,,,
160-S,160,,,,,,,,,,,,,,,,,,,,,,,,
160-F,160,,,,,,,,,,,,,,,,,,,,,,,,
160-D,160,,,,,,,,,,,,,,,,,,,,,,,,
160-A,160,,,,,,,,,,,,,,,,,,,,,,,,
160-E,160,,,,,,,,,,,,,,,,,,,,,,,,
160-M,160,,,,,,,,,,,,,,,,,,,,,,,,
165-I,165,,,,,,,,,,,,,,,,,,,,,,,,
50/85/165-TB,165,,,,,,,,,,,,,,,,,,,,,,,,
180-S,180,,,,,,,,,,,,,,,,,,,,,,,,
200-X,200,,,,,,,,,,,,,,,,,,,,,,,,
105/200-R,200,,,,,,,,,,,,,,,,,,,,,,,,
200-L,200,,,,,,,,,,,,,,,,,,,,,,,,
120/200-R-2,200,,,,,,,,,,,,,,,,,,,,,,,,
200-S,200,,,,,,,,,,,,,,,,,,,,,,,,
200-E-2,200,,,,,,,,,,,,,,,,,,,,,,,,
65/250-R,200,,,,,,,,,,,,,,,,,,,,,,,,
65/200-R,200,,,,,,,,,,,,,,,,,,,,,,,,
200-I,200,,,,,,,,,,,,,,,,,,,,,,,,
85/200-R,200,,,,,,,,,,,,,,,,,,,,,,,,
220-F,220,,,,,,,,,,,,,,,,,,,,,,,,
225-X,225,,,,,,,,,,,,,,,,,,,,,,,,
225-S,225,,,,,,,,,,,,,,,,,,,,,,,,
230-V,230,,,,,,,,,,,,,,,,,,,,,,,,
240-E,240,,,,,,,,,,,,,,,,,,,,,,,,
240-S,240,,,,,,,,,,,,,,,,,,,,,,,,
240-H,240,,,,,,,,,,,,,,,,,,,,,,,,
65/240-EP,240,,,,,,,,,,,,,,,,,,,,,,,,
240-G,240,,,,,,,,,,,,,,,,,,,,,,,,
85/250-R-2,250,,,,,,,,,,,,,,,,,,,,,,,,
250-S,250,,,,,,,,,,,,,,,,,,,,,,,,
